movie_title,event_number,event_start,event_end,annotation
cartoon,,,,
,,,,
catch me if you can,1,45,113,"the text, ""inspired by a true story"" appears and then fades from the screen. camera focuses. the host says ""thank you very much, and welcome to 'to tell the truth.'"" yellow walls slide open and three men walk through. host says ""our first guest, he's made a career of being the most outrageous impostor that we've ever come across on this show."" announcer asks ""number 1, what is your name please?"" camera zooms in on leftmost man, he says ""my name is frank william abagnale."" camera pans right to the man in the center as the announcer says ""number 2."" the second man says ""my name is frank william abagnale."" camera pans to third man as the announcer says ""number 3."" this man also says his name is frank william abagnale.  camera backs up and zooms in again on the first man as the host says, ""from 1964 to 1967 i successfully impersonated an airpline pilot from pan am airways, and i flew nearly 2 million miles for free."" the camera moves right to the man in the center as the host continues, ""during that time, i was also the chief resident pediatrician at georgia hospital."" the camera pans to the rightmost man as the announcer says, ""and an assistant attorney general for the state of louisiana."" as the camera zooms out, host says, ""by the time i was caught, i was considered the youngest and most daring con-man in US history. i had cashed almost 4 million dollars in fraudulent checks in 26 foreign countries and all 50 states. and i did it all before my nineteenth birthday."" The three man walk to the right towards the podiums. the host says, ""my name is frank william abagnale."" the audience applaud and the three men take their seats."
,2,114,142,"the host says, ""for the first time he is gonna have to tell the truth and we are going to start our questioning with kitty."" kitty says, ""thank you"" and camera focuses on her as she addresses the man number 1, ""why with all your talent, and you're obviously a very bright fellow,"" while the camera zooms in on him, ""why didn't you go in for a legitamate profession?"" the man responds, ""it was really a question of dollars and cents. when I was a young man, i needed the money, and i thought that this list of careers was the easiest way to get it."" kitty says, ""i see."" the camera pans right to the man in the center as she addresses number 2, saying ""i find this all very fascinating. who was it that finally caught you?"" the second man leans into the mic and says, ""his name was carl hanratty."""
,3,143,165,"cut to carl standing in the rain with 6 other men, speaking french, who are all repeatedly saying and trying to pronounce ""carl hanratty."" camera cuts to man who says slowly, ""i am carl hanratty. the fbi from the united states of america"" a french man nods and responds. carl says, ""yeah. i have orders to see the american prisoner abagnale."" the other men continue to speak in french"
,4,169,209,"from inside a prison, seen through a small window, a jailer appears with carl with a set of keys and unlocks the door. hanratty follows the jailer into a room, where the jailer pulls out a stool, setting it down and telling carl, ""you sit here."" he also lays out the rules and while opening a hole in the wall, ""you do not open the door. you do not pass him anything through the hole."" the man walks away and talks to another jailer as carl goes to put his briefcase down. "
,5,211,292,"seen from inside the cell, carl kneels down and peers through a grate, and he says, ""aw jesus."" camera pans to man inside the cell coughing, who is wrapped in a cloak and slides down the wall to crouch on the floor. carl stands up and looks back at the guard before opening his umbrella and kneeling back down. the prisoner, frank, continues to cough and wheeze as carl says, ""you know, i’ve got a little bit of a cold myself."" frank coughs even more, leaning forward, as carl continues to talk to him with the camera zoomed out. carl reads him the law regarding article 1 and extradition. the prisoner whispers help me twice. carl stops and looks at him and says ""frank, stop it."" the prisoner breathes and says ""help me again"" before carl continues, ""you don't think you can actually fool me, do you?"" frank coughs, carl shifts and says ""article 2"" before continuing about the law as the camera angle shifts to behind him. the prisoner doubles over and falls to the floor. carl stops reciting and looks up. he says, ""frank"" twice. he gets up suddenly and turns, knocking over the stool. carl yells at the guard, ""get me a doctor in here. i need a doctor."" the guard says yes and carl repeats, ""doctor, now!”"
,6,293,337,"frank is being dragged by jailers through a hallway as carl says, ""don't sweat it, frank. we're going to get you right to a doctor."" the guards, speaking french, take him to a hospital bed and place him on it as carl says, ""frank, if you can hear me, don't worry, i'm going to take you home in the morning. home in the morning frank!"" the jailers leave the room and start washing their hands. carl follows them out and asks ""what are you doing?"" one guard says ""washing off the lice."" carl points to frank and says, ""this man has to be on a plane for america. he has to see a doctor."" the jailer nods and wipes his hands with a towel, saying ""the doctor comes in tomorrow."" carl walks over to the jailer and says, ""i have worked too long, too hard, for you to take this away from me. if he dies, i'm holding you responsible."" the jailer turns and walks toward the door, which is slightly open and creaking. he goes over to frank's bed and tugs open the curtains. he calls the other jailers over to alert them of the empty bed, and they all leave to chase after frank. carl says, ""ah frank."""
,7,338,389,"cut to people clamoring outside a fence. camera pans down to frank, who is turning a corner and stumbling down the hallway while coughing. he falls to his knees, gets back up, stumbles a bit more, and falls again, all while coughing. the guards appear behind him, walking toward him. frank turns to look at them before coughing and continuing to crawl forward. the guards catch up and one puts a gun to frank's head. the guards yell at the clamoring crowd as frank sits up and then falls on his back. he gives a small laugh as carl appears in his view. frank says, ""ok carl, lets go home."" the camera pulls up, zooming outward."
,,,,
the record,8,400,418,"woman sitting on bed opens pizza box. she takes a slice out and prepares to eat it but is interrupted by a knock at the door. she opens the door and looks around before looking down, seeing an envelope on the floor. the woman goes back to sit on her bed and opens the envelope. inside is a vinyl, and she takes it out of its cover. it says ""a single life"" on it. "
