events,transcript,recalled,recall_duration,recall_wordcount
1,"Uh this clip starts with, there's some sort of game show, and then there are three contestants on the show, that are all being asked their name, and they all say the exact same name. I think it's like Frank William Hardigan? Something like that. And one of them, the middle one is Leo DiCaprio, and then there's a voiceover kind of explaining this guy's life, about how he has sort of just gone in and out being caught in various places— or sorry he's just like a huge fraud, he's got like, made fraudulent behavior in like 30 different countries, 26 out of 50 countries or something, I don't know why I remember those numbers, probably wrong.",1,32,118
2,,0,,0
3,"And then we go into uh, there's like a flashback or a flash-forward or like a flash somewhere to this clip in Germany where Tom Hanks is some sort of inspector, being asked to go interview him or just see what he's up to in some way",1,17,47
4,"Um and so he's led into the prison and then he is shown the little flap where you can talk to Leo DiCaprio, and he opens it up but he realizes that Leo DiCaprio is not doing very well and then sort of collapses, ",1,13,45
5,"Um and so he's led into the prison and then he is shown the little flap where you can talk to Leo DiCaprio, and he opens it up but he realizes that Leo DiCaprio is not doing very well and then sort of collapses, and then he calls for a doctor, and then they get a group of people to carry him to a bed, a hospital bed.",1,19,68
6,"and then he calls for a doctor, and then they get a group of people to carry him to a bed, a hospital bed. But it turns out that the hospital bed, or the doctor is not in and won't be in until the next day.",1,11,46
7,"And then we see a clip of Leo DiCaprio trying to escape through the prison, and then getting caught by the guards, and then there's like tons of different, tons of prisoners cheering, I don't know, making a lot of noise, cheering for his escape but he doesn't like make it.",1,13,51
8,"She received a record in the mail that was called, uh, ooh, a simple, A single life?",1,6,17
9,"And then when she puts it on, she's just sitting there eating pizza; she puts it on and then she realizes as it's going that the pizza starts going away, before she can even, before she even bites any of it. And then she sort of backtracks in the record and realizes that the record is sort of ticking away along with her life, and so it's kind of like going forward in time with the pizza being eaten. And so she zooms forward a little bit and then realizes the whole pizza's gone.",1,22,94
10,"And then she starts experimenting and she starts like, she ticks further forward in time and she notices that she's pregnant, and then starts playing around with the record again and it like sort of moves her stomach in and out to go along with the baby's growth. And then she jumps forward a little bit further, and then to a baby pops out.",1,17,64
11,"And then she starts skipping even further in time so I think she next goes into her childhood, she skips back on the record, ",1,4,25
12,"and then from there she actually skips towards the end of her life, towards the very, one of the last moments and she realizes that she, she tries to get to the record from her chair,  and she realizes she can't, but she tries a few times but keeps skipping back, but she manages to get it close enough to skip it forward once again, and then she goes, it looks like she's in a nursing home,",1,23,78
13,"and she realizes she can't, but she tries a few times but keeps skipping back, but she manages to get it close enough to skip it forward once again, and then she goes, it looks like she's in a nursing home, and then she tries to get to the record to like kind of skip it backwards because she realizes she's about to die, and then she doesn't get there in time, and that's how that one ends.",1,18,78
14,"So, there's a scene with a man and a woman and it seems to be some sort of romantic dinner. And the woman is like asking him about his wine and tries to go pour him some wine, and the man refuses.",1,10,42
15,"And she tries to get him to loosen up, she mentions that it's their anniversary, but he says that he's got like stuff the next day, something to get up for the next morning. Oh but, and then she said that uh, she compliments the asparagus and she says that it's an aphrodisiac, or she says that people say that it's an aphrodisiac and I think he says, oh, what people? And she says, I don't know, like people, like you know, they, like it's a thing people say. And he is like generally very un, uncommunicative.",1,27,97
16,"And at some point she says like oh I wanted a, you're a computer analyst, not a surgeon, or something.",1,9,20
17,"but she comes over to him and says like, I don't know, she says something else like, like um, oh, like, all I want is like some, yeah, if I'm lucky I'll get some mechanical sex or something later. Oh yeah and I should say that at some point the previous boyfriend had lit a cigarette and she asked, she first like took it and threw it out, and then he lit another one.",1,18,74
18,"And then she goes over to him, this is a little bit out of order,  And he, and then she goes over to him to apologize and say she didn't mean that but then she, there's a switch behind his neck, that she flips, and actually it turns him off, so he seems to be some sort of robot.",1,13,60
19,"And he, and then she goes over to him to apologize and say she didn't mean that but then she, there's a switch behind his neck, that she flips, and actually it turns him off, so he seems to be some sort of robot. And then the next thing we see is like he's still lying there with his head forward like lifeless and she is on the computer looking for a new robot to buy",1,22,76
20,"And then the next thing we see is like he's still lying there with his head forward like lifeless and she is on the computer looking for a new robot to buy and she makes a call to ask to say like that oh this series, her boyfriend is like not, is not doing it for her, and she is looking for a new one, so she upgrades and then they like acknowledge oh yeah like the 100 series can get like that or something. And so she asks for um, a new one that's a masseuse and a, what a lumberjack or something?",1,34,104
21,"And then she goes in, and as they're showing her the new guy, they actually bring in the old guy and they start wheeling him away and she goes in and gives him a final kiss before he leaves. And then she comes over and then flip the new guy on and then you know they go back. oh yeah so she also takes the ring off the old guy and puts it on the new one.",1,16,77
22,"And then you see them at home, and they're having a very similar scene as the one,  Um and they show the new scene of them talking and at first it starts the same, he refuses wine, 'cause he has to go somewhere later the next day, but then he brings up the asparagus and how it's good and then he mentions that it's an aphrodisiac and she questions like who says that and he says, oh you know, they.",1,17,81
23,"And then the great, he comes over and starts massaging her, and it seems like oh yeah, this is like a much better boyfriend, and all of this is perfect, and stuff. And then the great ironic switch is that he actually flips her off, she apparently has one of these things too.",1,13,53
24,And then he switches her off and then goes and watches sports and lights a cigarette.,1,3,16
25,,0,,0
26,,0,,0
27,,0,,0
28,,0,,0
29,"It starts with the words, I think ""Keith Reynolds can't come home tonight,"" something like that and it's basically just describing a day for Keith Reynolds.",1,6,26
30,"So Keith Reynolds is this like, is this like businessman-type guy. He walks into the office, and then describes how he's been in love with this girl on the fourth floor, and he's expecting, oh, just to backtrack a little; it's I think like the beginning of his eighth year here, so he's been the longest tenured junior member of the business, um so he's really expecting a promotion. So when he goes up to the fourth floor and sees this girl that he's in love with, he is sort of musing of how if he gets a promotion, he may get the girl to fall in love with him. And he pours her a coffee from the free coffee machine and he gives it to her and it says that she always really, it says that he always does that or routinely does that, but she actually doesn't like coffee. And then she pours the coffee out, it accidentally hits this guy who's doing the windows, and it looks like he falls a long way from the fourth floor, but doesn't really discover what happens to him.",1,42,188
31,,0,,0
32,"And then he goes up to the eighth floor to meet his boss, where this guy Patrick Campbell had just been meeting with the boss, and he sees that he's going to get his promotion, but it turns out he does not, the boss has given it to someone else and that someone else happened to be Patrick Campbell who was now going down to the fourth floor to meet Keith's love interest. And they are actually in love and they are kissing and Keith comes down the elevator all dejected to the 4th floor and then sees them kissing, then just gets, sort of watches it, she kicks her leg up, .",1,29,113
33,"and it says that the elevator was open for an inordinately long time, and then it kinda closes, oh no so it doesn't close, and then Patrick Campbell asks him to hold the elevator and then blows her a kiss as he's coming in They go up a few floors and then as Patrick is leaving the elevator, she says to him, or uh Keith says to Patrick three words which are probably ""go fuck yourself"" and then he turns around and they get into a fight and then Patrick Campbell punches him, and then Keith punches him and kills him, and then he realizes that there's, um, that he has to do something with the body, and he tries to not get caught.",1,32,124
34,"It says in the movie he tries not to get caught because people don't like murderers; it's probably a fair enough statement. But as he's going, as he's going, he decides to bring him down the steps because he realizes how easily it could for him to get caught in the elevator, although I don't really understand that logic. And as he's taking him down the steps this woman from the 1st or 2nd floor is walking up the steps, and because she decided to take the steps because of some sort of exercise reason, and she runs into him, and faints, and falls down a few stairs and it looks like she might have died as well, and he drags Patrick beyond her and then he realizes that once he gets to, I think it's the sixth floor or something,",1,37,141
35,"that he's going to take the ladder but then his love interest comes up and she sees Patrick's dead body being lugged almost onto the elevator, he almost runs in the elevator, sorry ladder, without seeing her, but she saw it and she fainted as well, but thankfully did not die, she did not fall down any stairs.",1,14,58
36,"And then he starts to take him down the elevator and then, sorry, I keep saying elevator, I mean ladder, down the ladder,  and then he sort of has this moment of epiphany that everyone wants the same thing: it's like promotion and a happy life, a good romantic life and all that stuff. And then it shoots to like this guy who's cleaning a floor below, and it looks like he has hung himself, and the guy seems him, and that's the end of that clip.",1,26,88
