participant_id,event_number,central_id,score
sub-01,1,C1,2
sub-01,1,C2,1
sub-01,1,C3,1
sub-01,1,C4,2
sub-01,1,C5,0
sub-01,1,C6,0
sub-01,1,C7,0
sub-01,2,C1,0
sub-01,2,C2,0
sub-01,2,C3,0
sub-01,3,C1,0
sub-01,3,C2,1
sub-01,4,C1,0
sub-01,4,C2,0
sub-01,4,C3,0
sub-01,5,C1,0
sub-01,5,C2,2
sub-01,5,C3,0
sub-01,5,C4,0
sub-01,5,C5,0
sub-01,6,C1,0
sub-01,6,C2,0
sub-01,6,C3,1
sub-01,6,C4,0
sub-01,7,C1,1
sub-01,7,C2,2
sub-01,7,C3,0
sub-01,8,C1,0
sub-01,8,C2,0
sub-01,9,C1,2
sub-01,9,C2,0
sub-01,9,C3,2
sub-01,9,C4,0
sub-01,9,C5,0
sub-01,9,C6,2
sub-01,10,C1,2
sub-01,10,C2,2
sub-01,10,C3,2
sub-01,10,C4,0
sub-01,10,C5,1
sub-01,11,C1,1
sub-01,11,C2,0
sub-01,11,C3,2
sub-01,12,C1,2
sub-01,12,C2,1
sub-01,12,C3,0
sub-01,12,C4,2
sub-01,12,C5,0
sub-01,12,C6,0
sub-01,12,C7,0
sub-01,13,C1,0
sub-01,13,C2,1
sub-01,13,C3,0
sub-01,13,C4,2
sub-01,14,C1,0
sub-01,14,C2,1
sub-01,15,C1,0
sub-01,15,C2,0
sub-01,15,C3,0
sub-01,16,C1,0
sub-01,16,C2,0
sub-01,16,C3,0
sub-01,17,C1,0
sub-01,17,C2,0
sub-01,17,C3,0
sub-01,17,C4,0
sub-01,17,C5,0
sub-01,17,C6,0
sub-01,17,C7,0
sub-01,18,C1,0
sub-01,18,C2,0
sub-01,18,C3,0
sub-01,19,C1,2
sub-01,19,C2,0
sub-01,19,C3,0
sub-01,19,C4,0
sub-01,20,C1,0
sub-01,20,C2,2
sub-01,20,C3,0
sub-01,20,C4,0
sub-01,20,C5,1
sub-01,20,C6,0
sub-01,21,C1,2
sub-01,21,C2,0
sub-01,21,C3,0
sub-01,21,C4,0
sub-01,21,C5,0
sub-01,22,C1,0
sub-01,22,C2,1
sub-01,23,C1,0
sub-01,23,C2,0
sub-01,23,C3,0
sub-01,23,C4,1
sub-01,23,C5,2
sub-01,24,C1,0
sub-01,24,C2,0
sub-01,24,C3,2
sub-01,25,C1,0
sub-01,25,C2,0
sub-01,26,C1,0
sub-01,26,C2,0
sub-01,26,C3,0
sub-01,26,C4,0
sub-01,27,C1,0
sub-01,27,C2,0
sub-01,27,C3,1
sub-01,27,C4,1
sub-01,27,C5,0
sub-01,27,C6,0
sub-01,27,C7,0
sub-01,28,C1,0
sub-01,28,C2,0
sub-01,28,C3,0
sub-01,28,C4,0
sub-01,28,C5,1
sub-01,28,C6,2
sub-01,29,C1,0
sub-01,30,C1,0
sub-01,30,C2,2
sub-01,30,C3,1
sub-01,30,C4,0
sub-01,30,C5,0
sub-01,31,C1,0
sub-01,31,C2,0
sub-01,32,C1,0
sub-01,32,C2,2
sub-01,32,C3,1
sub-01,32,C4,1
sub-01,33,C1,0
sub-01,33,C2,0
sub-01,33,C3,0
sub-01,33,C4,0
sub-01,33,C5,0
sub-01,33,C6,2
sub-01,33,C7,0
sub-01,34,C1,0
sub-01,34,C2,1
sub-01,34,C3,2
sub-01,34,C4,0
sub-01,34,C5,0
sub-01,35,C1,0
sub-01,35,C2,0
sub-01,35,C3,0
sub-01,35,C4,0
sub-01,36,C1,0
sub-01,36,C2,0
sub-01,36,C3,0
sub-01,36,C4,0
sub-01,36,C5,0
sub-01,37,C1,0
sub-01,37,C2,2
sub-01,37,C3,0
sub-01,37,C4,0
sub-01,37,C5,0
sub-01,38,C1,0
sub-01,38,C2,1
sub-01,38,C3,0
sub-01,38,C4,0
sub-01,38,C5,0
sub-01,38,C6,2
sub-01,38,C7,1
sub-01,39,C1,0
sub-01,39,C2,2
sub-01,39,C3,2
sub-01,39,C4,2
sub-01,39,C5,0
sub-01,40,C1,0
sub-01,40,C2,1
sub-01,40,C3,0
sub-01,41,C1,2
sub-01,41,C2,0
sub-01,41,C3,0
sub-01,41,C4,0
sub-01,42,C1,1
sub-01,42,C2,0
sub-01,42,C3,0
sub-01,42,C4,0
sub-01,42,C5,0
sub-01,42,C6,2
sub-01,42,C7,0
sub-01,43,C1,2
sub-01,43,C2,0
sub-01,43,C3,0
sub-01,44,C1,1
sub-01,44,C2,1
sub-01,44,C3,0
sub-01,45,C1,0
sub-01,45,C2,0
sub-01,45,C3,0
sub-01,45,C4,0
sub-01,45,C5,0
sub-01,45,C6,0
sub-01,45,C7,2
sub-01,46,C1,2
sub-01,46,C2,0
sub-01,46,C3,0
sub-01,46,C4,0
sub-01,46,C5,0
sub-01,46,C6,0
sub-01,46,C7,0
sub-01,47,C1,0
sub-01,47,C2,2
sub-01,47,C3,2
sub-01,47,C4,2
sub-01,48,C1,0
sub-01,48,C2,0
sub-01,48,C3,0
sub-01,48,C4,2
sub-01,48,C5,0
