participant_id,event_number,peripheral_id,score
sub-01,1,P1,0
sub-01,1,P2,0
sub-01,1,P3,0
sub-01,1,P4,0
sub-01,1,P5,0
sub-01,1,P6,1
sub-01,1,P7,0
sub-01,3,P1,0
sub-01,3,P2,0
sub-01,5,P1,0
sub-01,5,P2,0
sub-01,5,P3,0
sub-01,5,P4,0
sub-01,5,P5,0
sub-01,6,P1,0
sub-01,6,P2,0
sub-01,6,P3,0
sub-01,6,P4,0
sub-01,7,P1,0
sub-01,7,P2,0
sub-01,7,P3,0
sub-01,8,P1,2
sub-01,8,P2,0
sub-01,9,P1,0
sub-01,9,P2,0
sub-01,9,P3,2
sub-01,9,P4,0
sub-01,9,P5,0
sub-01,9,P6,2
sub-01,10,P1,0
sub-01,10,P2,0
sub-01,10,P3,0
sub-01,10,P4,0
sub-01,10,P5,0
sub-01,11,P1,0
sub-01,11,P2,0
sub-01,11,P3,0
sub-01,12,P1,0
sub-01,12,P2,0
sub-01,12,P3,2
sub-01,12,P4,0
sub-01,12,P5,0
sub-01,12,P6,0
sub-01,12,P7,0
sub-01,13,P1,0
sub-01,13,P2,0
sub-01,13,P3,0
sub-01,13,P4,0
sub-01,14,P1,0
sub-01,14,P2,0
sub-01,19,P1,0
sub-01,19,P2,0
sub-01,19,P3,0
sub-01,19,P4,0
sub-01,20,P1,0
sub-01,20,P2,0
sub-01,20,P3,0
sub-01,20,P4,0
sub-01,20,P5,0
sub-01,20,P6,0
sub-01,21,P1,0
sub-01,21,P2,0
sub-01,21,P3,0
sub-01,21,P4,0
sub-01,21,P5,0
sub-01,22,P1,0
sub-01,22,P2,0
sub-01,23,P1,0
sub-01,23,P2,0
sub-01,23,P3,0
sub-01,23,P4,0
sub-01,23,P5,0
sub-01,24,P1,0
sub-01,24,P2,0
sub-01,24,P3,0
sub-01,27,P1,0
sub-01,27,P2,0
sub-01,27,P3,0
sub-01,27,P4,0
sub-01,27,P5,0
sub-01,27,P6,0
sub-01,27,P7,0
sub-01,28,P1,0
sub-01,28,P2,0
sub-01,28,P3,0
sub-01,28,P4,0
sub-01,28,P5,1
sub-01,28,P6,2
sub-01,30,P1,0
sub-01,30,P2,0
sub-01,30,P3,0
sub-01,30,P4,0
sub-01,30,P5,0
sub-01,32,P1,0
sub-01,32,P2,0
sub-01,32,P3,0
sub-01,32,P4,0
sub-01,33,P1,0
sub-01,33,P2,0
sub-01,33,P3,0
sub-01,33,P4,0
sub-01,33,P5,0
sub-01,33,P6,0
sub-01,33,P7,2
sub-01,34,P1,0
sub-01,34,P2,1
sub-01,34,P3,1
sub-01,34,P4,0
sub-01,34,P5,1
sub-01,35,P1,0
sub-01,35,P2,0
sub-01,35,P3,0
sub-01,35,P4,0
sub-01,37,P1,0
sub-01,37,P2,0
sub-01,37,P3,0
sub-01,37,P4,0
sub-01,37,P5,0
sub-01,38,P1,0
sub-01,38,P2,0
sub-01,38,P3,0
sub-01,38,P4,2
sub-01,38,P5,0
sub-01,38,P6,0
sub-01,38,P7,0
sub-01,39,P1,0
sub-01,39,P2,0
sub-01,39,P3,0
sub-01,39,P4,0
sub-01,39,P5,0
sub-01,40,P1,0
sub-01,40,P2,0
sub-01,40,P3,0
sub-01,41,P1,0
sub-01,41,P2,0
sub-01,41,P3,0
sub-01,41,P4,0
sub-01,42,P1,0
sub-01,42,P2,0
sub-01,42,P3,0
sub-01,42,P4,0
sub-01,42,P5,0
sub-01,42,P6,0
sub-01,42,P7,1
sub-01,43,P1,0
sub-01,43,P2,0
sub-01,43,P3,0
sub-01,44,P1,0
sub-01,44,P2,0
sub-01,44,P3,0
sub-01,45,P1,0
sub-01,45,P2,0
sub-01,45,P3,0
sub-01,45,P4,0
sub-01,45,P5,0
sub-01,45,P6,1
sub-01,45,P7,2
sub-01,46,P1,0
sub-01,46,P2,0
sub-01,46,P3,0
sub-01,46,P4,0
sub-01,46,P5,0
sub-01,46,P6,0
sub-01,46,P7,0
sub-01,47,P1,0
sub-01,47,P2,0
sub-01,47,P3,0
sub-01,47,P4,1
sub-01,48,P1,0
sub-01,48,P2,0
sub-01,48,P3,0
sub-01,48,P4,0
sub-01,48,P5,0
sub-01,51,P1,0
sub-01,51,P2,0
sub-01,51,P3,0
sub-01,51,P4,0
sub-01,51,P5,0
sub-01,52,P1,0
sub-01,52,P2,0
sub-01,53,P1,0
sub-01,53,P2,0
sub-01,53,P3,0
sub-01,54,P1,0
sub-01,54,P2,0
sub-01,54,P3,0
sub-01,55,P1,0
sub-01,55,P2,0
sub-01,55,P3,0
sub-01,55,P4,1
sub-01,55,P5,0
sub-01,56,P1,0
sub-01,56,P2,0
sub-01,56,P3,0
sub-01,56,P4,0
sub-01,56,P5,0
sub-01,57,P1,0
sub-01,57,P2,1
sub-01,57,P3,0
sub-01,58,P1,0
sub-01,58,P2,0
sub-01,58,P3,0
sub-01,59,P1,0
sub-01,59,P2,0
sub-01,59,P3,0
sub-01,59,P4,0
sub-01,59,P5,0
sub-01,60,P1,0
sub-01,60,P2,0
sub-01,60,P3,0
sub-01,60,P4,0
sub-01,60,P5,0
sub-01,61,P1,2
sub-01,61,P2,0
sub-01,61,P3,0
sub-01,61,P4,0
sub-01,61,P5,0
sub-01,62,P1,0
sub-01,62,P2,0
sub-01,62,P3,1
sub-01,63,P1,2
sub-01,63,P2,0
sub-01,63,P3,0
sub-01,63,P4,0
sub-01,64,P1,0
sub-01,64,P2,0
sub-01,64,P3,0
sub-01,64,P4,1
sub-01,64,P5,2
sub-01,66,P1,0
sub-01,66,P2,0
sub-01,66,P3,0
sub-01,66,P4,0
sub-01,66,P5,0
sub-01,66,P6,0
sub-01,66,P7,0
sub-01,66,P8,2
sub-01,67,P1,0
sub-01,67,P2,0
sub-01,67,P3,0
sub-01,67,P4,0
sub-01,67,P5,0
sub-01,67,P6,0
sub-01,67,P7,0
sub-01,67,P8,0
sub-01,68,P1,0
sub-01,68,P2,0
sub-01,68,P3,0
sub-01,68,P4,0
sub-02,1,P1,0
sub-02,1,P2,0
sub-02,1,P3,0
sub-02,1,P4,0
sub-02,1,P5,1
sub-02,1,P6,0
sub-02,1,P7,0
sub-02,2,P1,0
sub-02,2,P2,0
sub-02,2,P3,0
sub-02,3,P1,0
sub-02,3,P2,0
sub-02,4,P1,0
sub-02,4,P2,0
sub-02,4,P3,0
sub-02,5,P1,0
sub-02,5,P2,0
sub-02,5,P3,0
sub-02,5,P4,0
sub-02,5,P5,0
sub-02,6,P1,2
sub-02,6,P2,0
sub-02,6,P3,0
sub-02,6,P4,0
sub-02,7,P1,0
sub-02,7,P2,0
sub-02,7,P3,0
sub-02,8,P1,0
sub-02,8,P2,1
sub-02,9,P1,0
sub-02,9,P2,0
sub-02,9,P3,0
sub-02,9,P4,0
sub-02,9,P5,0
sub-02,9,P6,0
sub-02,10,P1,0
sub-02,10,P2,0
sub-02,10,P3,0
sub-02,10,P4,0
sub-02,10,P5,2
sub-02,11,P1,0
sub-02,11,P2,0
sub-02,11,P3,0
sub-02,12,P1,0
sub-02,12,P2,0
sub-02,12,P3,2
sub-02,12,P4,0
sub-02,12,P5,0
sub-02,12,P6,0
sub-02,12,P7,1
sub-02,13,P1,2
sub-02,13,P2,0
sub-02,13,P3,2
sub-02,13,P4,0
sub-02,14,P1,0
