participant_id,event_number,peripheral_id,score
sub-13,1,P1,0
sub-13,1,P2,0
sub-13,1,P3,0
sub-13,1,P4,0
sub-13,1,P5,0
sub-13,1,P6,0
sub-13,1,P7,0
sub-13,1,P8,0
sub-13,1,P9,0
sub-13,2,P1,0
sub-13,2,P2,0
sub-13,2,P3,0
sub-13,2,P4,0
sub-13,2,P5,0
sub-13,2,P6,0
sub-13,2,P7,1
sub-13,3,P1,2
sub-13,3,P2,0
sub-13,3,P3,0
sub-13,3,P4,0
sub-13,3,P5,0
sub-13,4,P1,0
sub-13,4,P2,0
sub-13,4,P3,0
sub-13,4,P4,0
sub-13,4,P5,0
sub-13,4,P6,0
sub-13,4,P7,0
sub-13,4,P8,0
sub-13,5,P1,0
sub-13,5,P2,0
sub-13,5,P3,0
sub-13,5,P4,1
sub-13,5,P5,0
sub-13,5,P6,0
sub-13,5,P7,1
sub-13,6,P1,0
sub-13,6,P2,1
sub-13,6,P3,0
sub-13,6,P4,0
sub-13,6,P5,0
sub-13,6,P6,0
sub-13,6,P7,0
sub-13,7,P1,1
sub-13,7,P2,0
sub-13,7,P3,2
sub-13,7,P4,0
sub-13,7,P5,1
sub-13,7,P6,2
sub-13,8,P1,0
sub-13,8,P2,0
sub-13,8,P3,2
sub-13,8,P4,0
sub-13,8,P5,0
sub-13,8,P6,0
sub-13,9,P1,0
sub-13,9,P2,0
sub-13,9,P3,0
sub-13,9,P4,2
sub-13,9,P5,0
sub-13,10,P1,0
sub-13,10,P2,0
sub-13,10,P3,0
sub-13,10,P4,0
sub-13,10,P5,1
sub-13,10,P6,0
sub-13,10,P7,0
sub-13,11,P1,0
sub-13,11,P2,0
sub-13,11,P3,2
sub-13,11,P4,0
sub-13,11,P5,0
sub-13,11,P6,0
sub-13,11,P7,0
sub-13,12,P1,0
sub-13,12,P2,2
sub-13,12,P3,0
sub-13,12,P4,0
sub-13,12,P5,0
sub-13,12,P6,0
sub-13,12,P7,0
sub-13,13,P1,0
sub-13,13,P2,0
sub-13,13,P3,0
sub-13,13,P4,0
sub-13,13,P5,0
sub-13,13,P6,0
sub-13,13,P7,0
sub-13,13,P8,0
sub-13,14,P1,0
sub-13,14,P2,0
sub-13,14,P3,0
sub-13,14,P4,0
sub-13,15,P1,0
sub-13,15,P2,0
sub-13,15,P3,2
sub-13,15,P4,0
sub-13,15,P5,2
sub-13,15,P6,2
sub-13,15,P7,0
sub-13,15,P8,0
sub-13,16,P1,0
sub-13,16,P2,2
sub-13,16,P3,0
sub-13,16,P4,0
sub-13,16,P5,0
sub-13,17,P1,0
sub-13,17,P2,0
sub-13,17,P3,0
sub-13,17,P4,0
sub-13,17,P5,0
sub-13,17,P6,0
sub-13,17,P7,2
sub-13,18,P1,0
sub-13,18,P2,0
sub-13,18,P3,0
sub-13,18,P4,0
sub-13,18,P5,0
sub-13,19,P1,0
sub-13,19,P2,0
sub-13,19,P3,0
sub-13,19,P4,0
