annotation,event_number
"People in popcorn, candy, and soft drink costumes are parading down a crowd of people singing ""Let's all go to the lobby x 3, to get ourselves a treat!"" Popcorn is being popped in a large popcorn machine made of glass. A young woman sings: ""Delicious things to eat!"" Men sing in reply: ""the popcorn can't be beat!"" A family of four, a father with a black suit, a little boy with a striped shirt, his older sister with a red shirt and red hair and red bow as well as a mother with a green shirt and grey skirt are seen snacking on popcorn and candy. Background singers sing: ""The sparkling drinks are just dandy, the chocolate bars and the candy..."" A view of the lobby with a display of snacks for the movies. A woman is at the cash register.  Background singers: ""So, let's all go to the lobby to get ourselves a treat"" Let's all go to the Lobby to get Ourselves a Treat! Is seen as on-screen text. Singers sing ""Let's all go to the lobby…""  There is an on-screen countdown from 3…2…1… as the background singers finish singing: ""... to get ourselves a treeeaaaat!"". The music ceases.",1
"Gunfire by a soldier along a wall made of stacked stones  A bomb or land mine goes off in the middle of a grassy field A Soldier kicks open a door. Soldiers shooting at a target off screen behind a wall. Other soldiers are sitting ducked beneath the wall.  Close up view of John tossing in bed while sleeping More gunfire. Two soldiers seen hand signalling to each other in the battlefield filled with tall grass  Sideways view of john sleeping at night   One of the soldiers that was signalling collapses  A soldier runs across the batttlefield. Cut to another soldier standing and aiming to kill a target off screen with his gun  Quick shot of John's face in pain as he is lying down on the battlefield and someone calls out ""John!"", then a shot of him sleeping in bed  Random gunfire by a soldier standing nearby and a full body view of John lying down on the floor in pain in battle  First person view of a soldier running in battle with fellow soldiers. Someone is heard screaming amongst gunfire in the background",2
"John's eyes open at the sound of an echoing voice. John immediately gets up from his bed.  John is panting and his breathing is rough from his nightmares.  John is slowly calming down, his breathing is getting slower.  John lies back down and continues to calm his breathing. He begins to weep.",3
"John sits upright on his bed contemplatively in the middle of the night with his bedside lamp on. He is unable to sleep. He looks across to the desk on the other side of the room where there is a cane resting by his desk. The rest of his simply furnished room is shown as the camera zooms out.  Side view of John's face as he stares out into space contemplatively then looks down at his hands  A view of John sitting on his bed with his head down with his whole room in view The sunrises, light fades into the room and John's figure fades out of the room, signifying a passage of time.  John walks into the room with a gown on and walks toward his desk with his cane in his right hand. He places a mug with a coat of arms on his desk.  He also places a green apple on the desk.  John pulls out a chair underneath the desk and sits down with the support of his cane.  John pulls his cane out of the way and opens a drawer to the right in his desk. Close Up of the drawer as John takes out his laptop. Underneath it is a pistol and a white notebook. John opens up his laptop. John puts his hands together and sighs as he stares into the laptop screen.  His screen is displaying his blog entitled: ""THE PERSONAL BLOG OF Dr. John H. Watson."" There's nothing else written on the blog page. A Woman's voice (Psychotherapist's voice) is heard asking ""How's your blog going?""",4
"John is seen seated in another room with floral wallpaper and he hesitantly replies ""Yeah, good. Very good"" A female psychotherapist and John are seen sitting across from each other in a brown colour themed room and the psychologist asks: ""You haven't written a word haven't you?"" John points at the psychologist's notes and says: ""You just wrote 'still has trust issues'."" Psychologist points at John and says ""And you read my writing upside down. D'you see what I mean?"" John smirks and does not answer.  The Psychotherapist explains: ""John, you're a soldier."" The Psychotherapist continues: ""and it's gonna take you a while to adjust to civilian life; and writing a blog about everything that happens to you will honestly help you."" John gazes back at her as she speaks with a look of despair. John says: ""Nothing happens to me.""",5
"Shot of a London Metropolitan Area with lots of traffic  The Title SHERLOCK appears on the screen. London's famous cityline is shown  Another view of the streets of London.  Many crime-related scenes cut in and out. A fabric material, shadows, a gun, a man dressed in a suit lying on his bed with blood coming from his forehead.  Many shots of the City of London with words overlayed such as: Bomber, Connection Top view of a woman with a white shirt and black pants walking on the street. Strange symbols appear overlayed.  Strange lines flow into the screen then cuts to a human eye.  A portrait of what looks like Sherlock, then fingers holding a smalll bottle appear.  A single drop of clear fluid hangs on the tip of a pipette then finally drops down.  The drop of liquid drops onto a sample of blood and spreads.  Zoom into the sample of blood to reveal many red blood cells moving around. Fade out to black. ",6
"View of London from the top of a building. October 12th A woman (Helen, a secretary) with a purple shirt and a black skirt is speaking on the phone as she walks across a room in a high rise building. A man's voice (Sir Jeffrey)  is heard on the phone saying: ""What d'you mean, there's no ruddy car?"" Helen, his secretary, replies: ""He went to Waterloo. I'm sorry."" Sir Jeffrey, a middle-aged man is seen speaking with the woman on his cell phonewhile walking across the concourse of a busy london railway station. Helen says to him on the phone: ""Get a cab."" Sir Jeffrey replies while walking: ""I never get cabs."" Woman looks around to see if anyone is within earshot and says quietly: ""I love you."" on the phone Sir Jeffrey asks: ""When?"" Woman giggles and says ""Get a cab!"" Sir Jeffrey smiles, gets off the phone and looks around him to get a cab. ",7
"Fade into a pair of hands shakily unscrewing a small glass bottle with three white and red pills inside. One is tipped out.  Sir Jeffrey holds a pill to his his mouth. He is sitting by a window inside a high rise building with the pill in his right hand and the bottle in the other hand. He seems to be fearfully looking up at someone.  Sir Jeffrey's eyes look very fearful.  Sir Jeffrey puts the pill into his mouth.  Sir Jeffrey is seen from the outside of the buildling. He is lying down on his side by the window; choking and gasping for breath, touching the glass window. Sir Jeffrey's wife (Margaret Patterson) says in the background: ""My husband…""",8
"Sir Jeffrey is seen from a zoomed out view from the inside of a building. It seems to be an abandoned office buildling. Ms. Patterson's voice continues: ""…was a happy man who lived life to the full."" Ms. Patterson is seated at a table at a press conference, reading tearfully from her statement saying: ""He loved his family and his work- and that he should have taken his own life in this way...."" She has a policeman to her left and a lawyer to her right. Behind her is a large photo of Sir Jeffrey Patterson.  The camera pans to the left end of the room, where Helen is standing trying to keep control of her feelings, weeping. Ms. Patterson continues: ""….is a mystery and a shock to all who knew him."" Helen closes her eyes and let her tears roll down. ",9
"November 26th.Fade into a rainy night where two young men are walking in the rain, both with dark clothes on. One with an umbrella (gary), one without (jimmy). Jimmy has his hood on instead. Jimmy calls out ""yes, yes, taxi, yes!"" to a black cathat approaches with its yellow sign lit to show that it is available. Jimmy walks out onto the road and whistles.  The taxi does not stop and keeps going.Jimmy makes an exasperated sound. He walks back to Gary and tells him: ""I'll be back in two minutes, mate."" He starts walking back to where they came from.  Gary asks Jimmy: ""What?"" Jimmy turns around and repiles: ""I'm just going home; get my mum's umbrella."" Gary says: ""You can share mine!"" Jimmy starts running away and yells: ""Two minutes, all right?"" Shot of Jimmy getting soaked in the rain walking away. Gary looks at his watch, having apparently waited a long time for Jimmy and heads back to find Jimmy. ",10
"Some time later….Close up view of Jimmy's scared eyes.  Jimmy's hands are shakily clutching a small glass bottle which contains three large white and red capsules.  Jimmy is sobbing. Jimmy unscrews the lid, his hands are shaking.  Jimmy is sitting on a window ledge inside a sports centre overlooking a sports court. His hands, holding the pills, are shaking and he continues to sob.  Fade in to a partial view of an article in The Daily Express. The headlien is: ""Boy, 18, kills himself inside sports centre.""",11
"January 27th. At a public venue, a party is being held. A large poster showing the guest of honour is labelled: Your local MP, Beth Davenport, Junior Minister for Transport. Pounding music is coming out of the room.  One of Beth's woman aides walks out of the room in formalwear. She looks a little frustrated. The woman aide goes over to her male colleague who si standing at the bar. He looks at her in exasperation. He asks: ""Is she still dancing?"" In the back a banner that says: ""Happy Birthday"" is visible, meaning that it is Beth's birthday celebration. The woman replies: ""Yeah, if you can call it that."" The man aide asks the woman: ""Did you get the car keys off her?"" The woman aide shows him the keys, She says: ""Got'em out of her bag."" The man aide smiles with satisfaction.  The Man aide looks into the dance hall and frowns. He asks: ""Where is she?"" Beth is seen outside in the dark at night having slipped out of the venue. She is next to her car looking for her keys in her bag. She sighs when she can't find them and looks around helplessly.  Cut to a building site with many portacabins.   A close up of Beth Davenport's face as she sobs hysterically.  As Beth continues to cry in the background, she reaches out a trembling hand towards a small glass bottle which contains three red and white large capsules. Sergeant Donovan voices over saying: ""The body of Beth Davenport, Junior Minister for Transport, was found..."" The title of the episode: A STUDY IN PINK appears on the screen. ",12
"Police Press Conference Room. Camera has viewpoint of a reporter. Detective Inspector Lestrade sits uncomfortably at the table in front of the press while his colleague, Detective Sergeant Sally Donovan addresses the reporters. She says: ""…late last night on a building site in Greater London."" Donovan looks up at the reporters and continues: ""Preliminary investigations…"" Lestrade looks distressed. Donovan continues: ""…suggest that this was suicide. We can confirm that this…"" Lestrade has his hands together and is seated to the right of Donovan. Donovan continues: ""…apparent suicide closely resembles those of Sir Jeffrey Patterson and James Phillimore. In the light of this, these incidents are now being treated as linked."" A view of the whole press conference room. Many reporters are present. Donovan finishes her speech saying: ""The investigation is on-going, but Detective Inspector Lestrade will take questions now."" Reporter 1  raises his hand and asks Lestrade: ""Detective Inspector, how can suicides be linked?""  Lestrade answers: ""Well, they all took the same poison; um, they were all found in places they had no reason to be; none of them had shown any prior indication of…"" Reporter 1 interrupts and states: ""But you can't have serial suicides."" Lestrade replies: ""Well, apparently you can."" Reporter 2 asks: ""These three people, there's nothing that links them?"" Lestrade answers: ""There's no link been found yet, but we're looking for it. There has to be one."" Everyone's phones trill a text message alert at the same time. The reporters all check their phones.  Lestrade and Donovan each look down at their phones As the reporters look at their phones, each message reads: Wrong!There are cameramen at the back of the room as well.  Donovan looks down at her phone.  A closer look at the phone in Donovan's hands which also shows a text message that says: ""Wrong!"" Donovan looks up from her phone and says: ""If you've all got texts, please ignore them."" Reporter 1  says that ""It just says, 'Wrong!'""  Lestrade grimaces and looks uncomfortable as Donovan says: ""Yeah, well, just ignore that. Okay, if there are no more questions for Detective Inspector Lestrade…""  Donovan continues: ""…I'm going to bring this session to an end."" Lestrade remains silent and seated beside her.  Reporter 2 asks: "" But if they're suicides, what are you investigating?"" Lestrade answers with his hands together: ""As I say, these…these suicides are clearly linked. Um, it's an…it's an unusual situation. We've got our best people investigating…"" Everyone's phones trill another text alert again. Everybody looks down at their phones, including the reporters and Lestrade.  Once again, each message reads: Wrong! Close up view of Lestrade's phone. Reporter 1 says in the background: ""Says, 'Wrong,' again."" Lestrade looks despairingly toward Donovan to his left.  Donovan states: ""One more question."" Reporter 3 asks ""Is there any chance that these are murders, and if they are, is this the work of a serial killer?""  Lestrade replies: ""I…I know that you like wriitng about these, but these do appear to be suicides. We know the difference. The, um, poison, was clearly self-administered. "" Reporter 3 asks: ""Yes, but if they are murders, how do people keep themselves safe?"" Lestrade answers: ""Well, don't commit suicide."" Reporter 3 looks shocked.  Donovan covers her mouth and murmurs to Lestrade: ""Daily Mail."" She is warning Lestrade to watch what he says.  Lestrade grimaces and looks at the reporters again. He says: ""Obviously this is a frightening time for people, but all anyone has to do is exercise reasonable precautions."" Lestrade continues: ""We are all as safe as we want to be."" As soon as he finishes that statement, everyone's phones trill text message alerts again.  All the reporters in the room check their phones once again. Once more, the message reads: Wrong! Lestrade's phone takes a moment longer to alert him to a text and when he looks at it, the message reads: You know where to find me. SH Looking exasperated, Lestrade puts the phone into his pocket and looks at the reporters as he stands up. He says: ""Thank you."" Donovan stands up to leave as well.  Shortly afterwards, Lestrade and Donovan are walking through offices of New Scotland Yard. Donovan says to Lestrade: ""You've got to stop him doing that. He's making us look like idiots."" Lestrade says: ""Well, if you can tell me how he does it, I'll stop him.""",13
"John is walking with a limp through Russell Square Park with his cane looking preoccupied.  John passes by a bench in the park where a man dressed in a beige jacket with a suit and tie and glasses calls out ""John! John Watson!""  John turns around as the man approaches.  The man walks closer and introduces himself saying: ""Stamford. Mike Stamford.We were at Bart's together."" John recognises him and says ""Yes sorry, yes, Mike, hello, hi."" He takes Mike's offered hand, putting his cane in the other hand, and shakes it.  (while shaking) Mike grins, gestures to himself, says ""Yes, I know, I got fat"".  John, trying to sound convincing, says: ""No."" Mike: ""I heard you were abroad somewhere getting shot at, what happened?"" John looks down awkwardly at his leg and looks back up and awkwardly says: ""I got shot.""  Mike's smile disappears and they both seem embarassed John and Mike are sitting down together at a park bench, each with a coffee in their hand. John takes a sip of his coffee in his left hand and purses his lips.  John turns to his left and asks Mike: ""Are you still at Bart's then?"" Mike answers: ""Teaching now. Bright young things, like we used to be. God, I hate them!"" Mike chuckles.  John laughs  Mike asks John: What about you? Just staying in town 'til you get yourself sorted?"" John replies: ""I can't afford London on an army pension."" Mike: ""Ah, and you couldn't bear to be anywhere else. That's not the John Watson I know."" John uncomfortably says: ""Yeah, I'm not the John Watson…"" and never finishes his sentence. Mike awkwardly looks away and drinks his coffee. John switches his own cup to his right hand and looks down at his left hand, clenching it into a fist as he tries to control the tremor that has started.  Mike looks at John again and asks: ""Couldn't Harry help?"" John scoffs and sarcasitcally says: ""Yeah, like that's going to happen."" Mike shrugs and suggests: ""I dunno- get a flatshare or something? John says: ""Come on, who would want me for a flat mate?"" Mike chuckles and John looks at him wonderingly.  John asks :""What?"" Mike says: ""Well, you're the second person to say that to me today."" John asks: ""Who was the first?""",14
"Sherlock unzips the body bag lying on the table and peers at the corpse inside. He sniffs.  Sherlock asks: ""How fresh?"" Molly says: ""Just in""  Shot of room with Sherlock peering into the bag and Molly making her way around closer to Sherlock. Molly says ""67 natural causes. Used to work here.""  Molly pleasantly continues: ""I knew him. He was nice."" She approaches Sherlock.  Sherlock zips the bag Sherlock looks at Molly with a fake smile and says: ""Fine. We'll start twith the riding crop.""  Scene with Molly peering into a room from the outside through an observation window. Sherlock is seen flogging the body which has been removed from the bag and is lying on its back on the table (off-screen) with a riding crop Sherlock starts whipping the body faster.  Molly comes into the room flinching but smiling with admiration.  Sherlock whips the body very quickly, finishes, then straightens up, breathless.  Molly smiles and asks: ""So, bad day, was it?"" She chuckles.  Sherlock ignores her banter, takes out a notebook and starts writing in it. He says to Molly: ""I need to know what bruises form in the next twenty minutes. A man's alibi depends on it. Text me.""  Molly shyly looks up at Sherlock and says: ""Listen, I was wondering, maybe later…"" Sherlock glanes at her while he is writing, then does a double-take and frowns at her. Molly continues: ""…when you're finished…""  Sherlock interrupts her and asks: ""Are you wearing lipstick? You weren't wearing lipstick before."" Molly nervously says: ""I, uh, I refreshed it a bit."" She smiles at him flirtatiously.  Sherlock gives a long oblivious look, then goes back to writing in his notebook. Sherlock reumes his note taking and says ""Sorry, you were saying?"" Molly gazes at him intently and says: ""I was wondering if you'd like to have coffee."" Sherlock puts his notebook away and says: ""Black, two sugars, please. I'll be upstairs."" then leaves the room Molly awkwardly stands alone next to the table in the room and quietly says to herself. ""Ok""",15
