events,transcript
1,
2,"The episode begins with a bunch of soldiers in, I guess, kind of sandy area coming under fire. It bounces around a little bit. I should see this more like a war documentary"
3,"and suddenly after a few clips it jumps to Watson in his bed. And heís sort of in this dark room on this tiny little bed. Thereís only a small desk to the left. And, like after the dream ends, he bolts upright and essentially the scene focuses in on him remembering what was going on in Afghanistan."
4,"After that it seems to have a time lapse and he sort of spends a day. And then it focuses in on him sitting down at a desk, and he opens up his laptop and thereís a blog, but thereís nothing written on the blog. And there, as heís taking out his computer from the desk you see a gun underneath it."
5,"And then the next scene itís him sitting either on a couch or in a chair talking to a psychiatrist. The psychiatrists asks him if heís been writing on the blog and he says hasnít but, and she sort of berates him for not doing so and says that it would really help the situation. And thereís a bit of a confrontation about trust issues between the two of them."
6,
7,
8,"And prior to this there was also a whole introduction to the killings. So thereís a scene where a businessmanís walking through a train station on the phone talking to, I believe his secretary, who then says she loves him. And then the scene flashes to him in a high rise building seemingly taking a pill and then curled up against the window,"
9,and sort of like a news bulletin about his death.
10,"And then after that you see a scene of two teenagers, like on a street, looking for a cab and one of them walks off into the rain."
11,"And the next scene you see is him, sort of above a pool, taking another similar pill. And then a headline saying boy found dead."
12,"And then the final crime is a, two people are standing outside sort of a dance hall, drinking, theyíre asking where a woman went. And then it shows the woman by her car, looking distraught. And then, sort of in an industrial area, again taking the pills."
13,"And that flashes to a news conference where thereís the chief inspector and thereís a bunch of reporters talking about, or asking questions about what happened. And each time they ask a question that the chief inspector responds to they get a text saying nope, or wrong. And then, finally after like the third time, the chief inspector gets a text saying you know where to find me, signed S.H."
14,"The next scene is of Watson walking through a park I believe, and heís talking, just, just walking through the park. And someone calls out behind him, says his name, and he actually runs into an old friend, I think whoís from med school. And they end up getting coffee and they catch up. And the old friend eventually asks what Watsonís doing in London. And Watson says heís been dismissed, heís out of the war. And the friend suggests that he needs a flat mate. But Watson in fact says why would he want a flat mate."
15,"Actually, before that was Sherlock in the lab. So youíre introduced to Sherlock Holmes, which is S.H., and heís in the lab with the lab assistant, and heís beating a corpse with a whip to test something about an alibi. In any case, the assistantís hitting on him. And she tries to wear lipstick and he comments on it. And she asks him if he wants to get coffee, and he takes it as does he want coffee and he says yes. So she gets him coffee. And he sees her again and comments that she looked better with the lipstick."
16,"The time that he sees her again is when Watson and the friend come into the laboratory. And so Watson comments on the technology of it, and Sherlock is working with a pipette. And Sherlock asks for a phone, and Watson gives it to him, and thatís that. And Sherlock confronts Watson about being in Afghanistan or Iraq. Thereís a whole conversation there and essentially Sherlock ends up assuming that theyíre going to become flat mates, and Watsonís sort of going along with it. And Sherlock says, if you want to be flat mates come to 221B Baker Street at a certain time."
17,
18,
19,"And so Watson goes there the next day and they run into the landlady of the house who Sherlock says owes him a favor because he made sure her husband was executed in Florida. And they look at the flat, and itís kind of mess but Sherlock has been living there. Thereís a skull on the mantelpiece, a bunch of technology equipment in the kitchen."
20,
21,"And as theyíre standing in the flat talking, the ladyís asking Sherlock if heís interested in the three seeming suicides that have happened lately."
22,"And you see a scene out the window where you see the police car, or the sirens of a police car flashing. And essentially heís assuming that the police are coming to pick him up because thereís a fourth murder, or suicide, that suddenly changes things. And so, the police chief comes up the staircase and says thereís a fourth. This time thereís a note. And so Sherlock says you need my help. And as the police chief leaves Sherlock does a little happy dance and walks out, saying Watson should have some tea."
23,"And the landlady assumes that Sherlock and Watson are actually a gay couple, which offends Watson more than it does Sherlock."
24,"Watson sits down The landlady makes some comment about him being a submissive couple or something, and then Sherlock bounces back in saying do you want to see a corpse? And Watson says, I would love to."
25,They get in the cab. Sherlock and Watson sort of ask each other questions.
26,
