event_number,central_id,central_content
1,C1,Old cinema interlude begins story
1,C2,Contrasts with gunfire and battlefield memories
2,C1,John experiences battlefield trauma in dreams.
2,C2,"John is called out in battle, indicating injury."
3,C1,John wakes from nightmares
3,C2,John calms his breathing
3,C3,John begins to weep
4,C1,John suffers from insomnia.
4,C2,John has a psychosomatic limp.
4,C3,John uses a cane for support.
4,C4,John is a war veteran.
4,C5,John has a personal blog.
4,C6,Psychotherapist suggests writing a blog.
4,C7,John owns a pistol.
5,C1,John in therapy for adjustment
5,C2,Psychotherapist suggests blogging
5,C3,"John claims ""Nothing happens to me"""
6,C1,Crime-related scenes intercut
6,C2,Man with blood on forehead
6,C3,Sherlock's portrait shown
6,C4,Pipette drop on blood sample
7,C1,Sir Jeffrey at railway station
7,C2,Sir Jeffrey refuses to take a cab
7,C3,Helen tells Sir Jeffrey to get a cab
8,C1,Sir Jeffrey swallows a red-and-white pill.
8,C2,Sir Jeffrey looks fearfully at someone.
8,C3,Sir Jeffrey chokes and gasps for breath.
9,C1,Sir Jeffrey's death is a mystery
9,C2,Press conference addresses his suicide
9,C3,Ms. Patterson reads a tearful statement
10,C1,Jimmy and Gary walk in rain
10,C2,Jimmy tries to hail a taxi
10,C3,Taxi does not stop for Jimmy
10,C4,Jimmy leaves to get umbrella
11,C1,"Jimmy holds pills, sobbing."
11,C2,Pills are red and white capsules.
11,C3,Jimmy is on a sports centre ledge.
11,C4,"Headline: ""Boy, 18, kills himself."""
12,C1,Beth Davenport is at a party.
12,C2,Beth's aides take her car keys.
12,C3,Beth leaves the party alone.
12,C4,Beth is found sobbing hysterically.
12,C5,Beth reaches for red-and-white pills.
12,C6,Beth Davenport's body is discovered.
13,C1,Lestrade addresses linked suicides.
13,C2,Reporters question suicide linkage.
13,C3,"Anonymous texts say ""Wrong!"""
13,C4,"Lestrade receives text from ""SH""."
13,C5,"Donovan urges Lestrade to stop ""SH""."
14,C1,John meets Mike Stamford in the park.
14,C2,Mike suggests John get a flatshare.
14,C3,John questions who would want him as a flatmate.
14,C4,Mike mentions someone else asked about a flatmate.
15,C1,Sherlock examines a corpse.
15,C2,Sherlock needs bruise timing for alibi.
15,C3,Molly offers Sherlock coffee.
16,C1,Sherlock meets John Watson.
16,C2,Sherlock deduces John's military background.
16,C3,Sherlock proposes flatmate arrangement.
16,C4,John learns Sherlock's name and address.
16,C5,Sherlock's deductions intrigue John.
17,C1,John reads message sent by Sherlock
