participant_id,event_number,central_id,score
sub-01,1.0,C1,0
sub-01,1.0,C2,0
sub-01,2.0,C1,2
sub-01,2.0,C2,0
sub-01,3.0,C1,2
sub-01,3.0,C2,0
sub-01,3.0,C3,0
sub-01,4.0,C1,0
sub-01,4.0,C2,0
sub-01,4.0,C3,0
sub-01,4.0,C4,0
sub-01,4.0,C5,0
sub-01,4.0,C6,0
sub-01,4.0,C7,0
sub-01,5.0,C1,1
sub-01,5.0,C2,0
sub-01,5.0,C3,0
sub-01,6.0,C1,0
sub-01,6.0,C2,0
sub-01,6.0,C3,0
sub-01,6.0,C4,0
sub-01,7.0,C1,0
sub-01,7.0,C2,0
sub-01,7.0,C3,0
sub-01,8.0,C1,0
sub-01,8.0,C2,0
sub-01,8.0,C3,0
sub-01,9.0,C1,0
sub-01,9.0,C2,0
sub-01,9.0,C3,0
sub-01,10.0,C1,0
sub-01,10.0,C2,0
sub-01,10.0,C3,0
sub-01,10.0,C4,0
sub-01,11.0,C1,0
sub-01,11.0,C2,0
sub-01,11.0,C3,0
sub-01,11.0,C4,0
sub-01,12.0,C1,0
sub-01,12.0,C2,0
sub-01,12.0,C3,0
sub-01,12.0,C4,0
sub-01,12.0,C5,0
sub-01,12.0,C6,0
sub-01,13.0,C1,0
sub-01,13.0,C2,0
sub-01,13.0,C3,0
sub-01,13.0,C4,0
sub-01,13.0,C5,0
sub-01,14.0,C1,2
sub-01,14.0,C2,0
sub-01,14.0,C3,0
sub-01,14.0,C4,0
sub-01,15.0,C1,2
sub-01,15.0,C2,1
sub-01,15.0,C3,2
sub-01,16.0,C1,2
sub-01,16.0,C2,2
sub-01,16.0,C3,2
sub-01,16.0,C4,2
sub-01,16.0,C5,2
sub-01,17.0,C1,0
sub-01,17.0,C2,0
sub-01,18.0,C1,0
sub-01,18.0,C2,1
sub-01,19.0,C1,2
sub-01,19.0,C2,0
sub-01,19.0,C3,1
sub-01,19.0,C4,0
sub-01,20.0,C1,0
sub-01,20.0,C2,0
sub-01,20.0,C3,0
sub-01,21.0,C1,0
sub-01,21.0,C2,0
sub-01,22.0,C1,1
sub-01,22.0,C2,0
sub-01,22.0,C3,0
sub-01,22.0,C4,0
sub-01,22.0,C5,0
sub-01,23.0,C1,0
sub-01,23.0,C2,0
sub-01,24.0,C1,1
sub-01,24.0,C2,2
sub-01,24.0,C3,2
sub-01,24.0,C4,0
sub-01,24.0,C5,0
sub-01,25.0,C1,0
sub-01,25.0,C2,0
sub-01,25.0,C3,0
sub-01,25.0,C4,0
sub-01,25.0,C5,0
sub-01,25.0,C6,0
sub-01,25.0,C7,0
sub-01,25.0,C8,0
sub-01,25.0,C9,0
sub-01,26.0,C1,0
sub-01,26.0,C2,0
sub-01,26.0,C3,0
sub-01,27.0,C1,0
sub-01,27.0,C2,0
sub-01,27.0,C3,0
sub-01,27.0,C4,0
sub-01,27.0,C5,0
sub-01,27.0,C6,0
sub-01,28.0,C1,0
sub-01,28.0,C2,0
sub-01,29.0,C1,0
sub-01,29.0,C2,0
sub-01,29.0,C3,0
sub-01,29.0,C4,0
sub-01,29.0,C5,0
sub-01,29.0,C6,0
sub-01,29.0,C7,0
sub-01,29.0,C8,0
sub-01,30.0,C1,2
sub-01,30.0,C2,0
sub-01,30.0,C3,0
sub-01,30.0,C4,0
sub-01,30.0,C5,2
sub-01,31.0,C1,0
sub-01,31.0,C2,0
sub-01,31.0,C3,0
sub-01,31.0,C4,0
sub-01,32.0,C1,0
sub-01,32.0,C2,1
sub-01,32.0,C3,2
sub-01,32.0,C4,0
sub-01,32.0,C5,0
sub-01,33.0,C1,0
sub-01,33.0,C2,0
sub-01,33.0,C3,0
sub-01,33.0,C4,0
sub-01,33.0,C5,0
sub-01,33.0,C6,0
sub-01,33.0,C7,0
sub-01,33.0,C8,0
sub-01,34.0,C1,0
sub-01,34.0,C2,2
sub-01,34.0,C3,0
sub-01,34.0,C4,1
sub-01,34.0,C5,2
sub-01,34.0,C6,0
sub-01,34.0,C7,2
sub-01,35.0,C1,1
sub-01,35.0,C2,0
sub-01,35.0,C3,0
sub-01,35.0,C4,0
sub-01,36.0,C1,2
sub-01,36.0,C2,2
sub-01,36.0,C3,2
sub-01,36.0,C4,2
sub-01,36.0,C5,2
sub-01,36.0,C6,0
sub-01,36.0,C7,0
sub-01,37.0,C1,0
sub-01,37.0,C2,0
sub-01,37.0,C3,2
sub-01,38.0,C1,1
sub-01,38.0,C2,0
sub-01,38.0,C3,0
sub-01,38.0,C4,2
sub-01,38.0,C5,0
sub-01,39.0,C1,2
sub-01,39.0,C2,0
sub-01,39.0,C3,0
sub-01,40.0,C1,0
sub-01,40.0,C2,1
sub-01,40.0,C3,0
sub-01,40.0,C4,0
sub-01,41.0,C1,2
sub-01,41.0,C2,2
sub-01,41.0,C3,0
sub-01,42.0,C1,0
sub-01,42.0,C2,0
sub-01,43.0,C1,0
sub-01,43.0,C2,0
sub-01,43.0,C3,0
sub-01,44.0,C1,2
sub-01,44.0,C2,0
sub-01,44.0,C3,0
sub-01,45.0,C1,1
sub-01,45.0,C2,0
sub-01,45.0,C3,1
sub-01,45.0,C4,2
sub-01,45.0,C5,2
sub-01,46.0,C1,0
sub-01,46.0,C2,0
sub-01,46.0,C3,0
sub-01,46.0,C4,0
sub-01,46.0,C5,0
sub-01,47.0,C1,0
sub-01,47.0,C2,0
sub-01,47.0,C3,0
sub-01,47.0,C4,0
sub-01,47.0,C5,0
sub-01,48.0,C1,0
sub-01,48.0,C2,2
sub-01,48.0,C3,0
sub-01,48.0,C4,0
sub-01,48.0,C5,0
sub-01,48.0,C6,0
sub-01,49.0,C1,0
