participant_id,event_number,central_id,score
sub-05,2,C1,0
sub-05,2,C2,0
sub-05,2,C3,0
sub-05,2,C4,0
sub-05,2,C5,0
sub-05,2,C6,0
sub-05,2,C7,0
sub-05,2,C8,0
sub-05,2,C9,0
sub-05,2,C10,1
sub-05,2,C11,1
sub-05,2,C12,0
sub-05,4,C1,0
sub-05,4,C2,0
sub-05,4,C3,0
sub-05,4,C4,0
sub-05,4,C5,0
sub-05,4,C6,2
sub-05,4,C7,1
sub-05,4,C8,0
sub-05,5,C1,2
sub-05,5,C2,0
sub-05,5,C3,0
sub-05,5,C4,0
sub-05,5,C5,2
sub-05,5,C6,0
sub-05,7,C1,1
sub-05,7,C2,0
sub-05,7,C3,0
sub-05,7,C4,0
sub-05,7,C5,2
sub-05,7,C6,0
sub-05,8,C1,0
sub-05,8,C2,2
sub-05,8,C3,0
sub-05,8,C4,1
sub-05,8,C5,1
sub-05,9,C1,2
sub-05,9,C2,0
sub-05,9,C3,2
sub-05,9,C4,0
sub-05,9,C5,1
sub-05,10,C1,2
sub-05,10,C2,1
sub-05,10,C3,0
sub-05,10,C4,1
sub-05,10,C5,0
sub-05,11,C1,0
sub-05,11,C2,2
sub-05,11,C3,0
sub-05,11,C4,0
sub-05,11,C5,0
sub-05,12,C1,1
sub-05,12,C2,2
sub-05,12,C3,1
sub-05,12,C4,0
sub-05,12,C5,0
sub-05,12,C6,0
sub-05,13,C1,2
sub-05,13,C2,1
sub-05,13,C3,0
sub-05,13,C4,0
sub-05,13,C5,2
sub-05,13,C6,0
sub-05,13,C7,1
sub-05,13,C8,0
sub-05,14,C1,1
sub-05,14,C2,0
sub-05,14,C3,1
sub-05,14,C4,0
sub-05,14,C5,1
sub-05,14,C6,0
sub-05,14,C7,2
sub-05,15,C1,1
sub-05,15,C2,0
sub-05,15,C3,0
sub-05,15,C4,1
sub-05,15,C5,2
sub-05,15,C6,0
sub-05,15,C7,1
sub-05,15,C8,0
sub-05,15,C9,0
sub-05,15,C10,0
sub-05,15,C11,0
sub-05,16,C1,0
sub-05,16,C2,0
sub-05,16,C3,0
sub-05,16,C4,2
sub-05,16,C5,1
sub-05,16,C6,2
