participant_id,event_number,peripheral_id,score
sub-01,2.0,P1,0
sub-01,2.0,P2,0
sub-01,2.0,P3,0
sub-01,3.0,P1,0
sub-01,3.0,P2,0
sub-01,3.0,P3,0
sub-01,5.0,P1,0
sub-01,5.0,P2,0
sub-01,5.0,P3,0
sub-01,8.0,P1,0
sub-01,8.0,P2,0
sub-01,8.0,P3,0
sub-01,14.0,P1,2
sub-01,14.0,P2,1
sub-01,14.0,P3,0
sub-01,15.0,P1,0
sub-01,15.0,P2,0
sub-01,15.0,P3,1
sub-01,16.0,P1,0
sub-01,16.0,P2,0
sub-01,16.0,P3,0
sub-01,16.0,P4,0
sub-01,18.0,P1,0
sub-01,18.0,P2,0
sub-01,19.0,P1,0
sub-01,19.0,P2,0
sub-01,19.0,P3,0
sub-01,19.0,P4,1
sub-01,22.0,P1,0
sub-01,22.0,P2,0
sub-01,22.0,P3,0
sub-01,22.0,P4,0
sub-01,24.0,P1,0
sub-01,24.0,P2,0
sub-01,24.0,P3,0
sub-01,24.0,P4,0
sub-01,24.0,P5,0
sub-01,30.0,P1,0
sub-01,30.0,P2,0
sub-01,30.0,P3,0
sub-01,30.0,P4,0
sub-01,30.0,P5,0
sub-01,32.0,P1,0
sub-01,32.0,P2,0
sub-01,32.0,P3,0
sub-01,32.0,P4,0
sub-01,32.0,P5,0
sub-01,34.0,P1,0
sub-01,34.0,P2,0
sub-01,34.0,P3,0
sub-01,34.0,P4,0
sub-01,34.0,P5,0
sub-01,34.0,P6,0
sub-01,35.0,P1,0
sub-01,35.0,P2,0
sub-01,35.0,P3,0
sub-01,35.0,P4,2
sub-01,36.0,P1,0
sub-01,36.0,P2,0
sub-01,36.0,P3,0
sub-01,36.0,P4,0
sub-01,36.0,P5,0
sub-01,36.0,P6,0
sub-01,36.0,P7,0
sub-01,37.0,P1,0
sub-01,37.0,P2,0
sub-01,37.0,P3,0
sub-01,38.0,P1,0
sub-01,38.0,P2,1
sub-01,38.0,P3,0
sub-01,38.0,P4,0
sub-01,38.0,P5,0
sub-01,39.0,P1,0
sub-01,39.0,P2,1
sub-01,39.0,P3,0
sub-01,39.0,P4,0
sub-01,40.0,P1,0
sub-01,40.0,P2,0
sub-01,40.0,P3,0
sub-01,40.0,P4,0
sub-01,41.0,P1,0
sub-01,41.0,P2,0
sub-01,41.0,P3,0
sub-01,43.0,P1,0
sub-01,43.0,P2,0
sub-01,43.0,P3,0
sub-01,44.0,P1,0
sub-01,44.0,P2,0
sub-01,44.0,P3,0
sub-01,45.0,P1,0
sub-01,45.0,P2,2
sub-01,45.0,P3,0
sub-01,45.0,P4,0
sub-01,45.0,P5,0
sub-01,48.0,P1,0
sub-01,48.0,P2,0
sub-01,48.0,P3,0
sub-01,48.0,P4,0
sub-01,48.0,P5,0
sub-01,48.0,P6,0
sub-01,49.0,P1,0
sub-01,49.0,P2,1
sub-01,49.0,P3,0
sub-01,49.0,P4,0
sub-01,49.0,P5,2
sub-01,50.0,P1,0
sub-01,50.0,P2,0
sub-01,50.0,P3,0
sub-01,50.0,P4,0
sub-02,2.0,P1,0
sub-02,2.0,P2,0
sub-02,2.0,P3,0
sub-02,3.0,P1,0
sub-02,3.0,P2,0
sub-02,3.0,P3,0
sub-02,5.0,P1,0
sub-02,5.0,P2,0
sub-02,5.0,P3,0
sub-02,13.0,P1,0
sub-02,13.0,P2,1
sub-02,13.0,P3,0
sub-02,13.0,P4,0
sub-02,13.0,P5,0
sub-02,14.0,P1,0
sub-02,14.0,P2,0
sub-02,14.0,P3,0
sub-02,15.0,P1,1
sub-02,15.0,P2,0
sub-02,15.0,P3,2
sub-02,16.0,P1,0
sub-02,16.0,P2,0
sub-02,16.0,P3,0
sub-02,16.0,P4,0
