participant_id,event_number,peripheral_id,score
sub-05,2,P1,0
sub-05,2,P2,0
sub-05,2,P3,0
sub-05,2,P4,0
sub-05,2,P5,0
sub-05,2,P6,0
sub-05,2,P7,0
sub-05,2,P8,0
sub-05,2,P9,0
sub-05,2,P10,0
sub-05,2,P11,0
sub-05,2,P12,0
sub-05,4,P1,0
sub-05,4,P2,0
sub-05,4,P3,0
sub-05,4,P4,0
sub-05,4,P5,0
sub-05,4,P6,0
sub-05,4,P7,0
sub-05,4,P8,0
sub-05,5,P1,0
sub-05,5,P2,0
sub-05,5,P3,0
sub-05,5,P4,0
sub-05,5,P5,0
sub-05,5,P6,0
sub-05,7,P1,0
sub-05,7,P2,0
sub-05,7,P3,0
sub-05,7,P4,0
sub-05,7,P5,0
sub-05,7,P6,0
sub-05,8,P1,0
sub-05,8,P2,0
sub-05,8,P3,0
sub-05,8,P4,0
sub-05,8,P5,0
sub-05,9,P1,0
sub-05,9,P2,0
sub-05,9,P3,0
sub-05,9,P4,0
sub-05,9,P5,0
sub-05,10,P1,0
sub-05,10,P2,0
sub-05,10,P3,0
sub-05,10,P4,0
sub-05,10,P5,1
sub-05,11,P1,0
sub-05,11,P2,0
sub-05,11,P3,0
sub-05,11,P4,0
sub-05,11,P5,0
sub-05,12,P1,0
sub-05,12,P2,1
sub-05,12,P3,0
sub-05,12,P4,0
sub-05,12,P5,0
sub-05,12,P6,0
sub-05,13,P1,0
sub-05,13,P2,0
sub-05,13,P3,0
sub-05,13,P4,1
sub-05,13,P5,0
sub-05,13,P6,0
sub-05,13,P7,0
sub-05,13,P8,0
sub-05,14,P1,0
sub-05,14,P2,0
sub-05,14,P3,0
sub-05,14,P4,0
sub-05,14,P5,0
sub-05,14,P6,0
sub-05,14,P7,0
sub-05,15,P1,0
sub-05,15,P2,0
sub-05,15,P3,0
sub-05,15,P4,0
sub-05,15,P5,0
sub-05,15,P6,0
sub-05,15,P7,0
sub-05,15,P8,0
sub-05,15,P9,0
sub-05,15,P10,0
sub-05,15,P11,0
sub-05,16,P1,0
sub-05,16,P2,0
sub-05,16,P3,0
sub-05,16,P4,0
sub-05,16,P5,0
sub-05,16,P6,0
sub-05,16,P7,0
sub-05,16,P8,0
sub-05,19,P1,0
sub-05,19,P2,0
sub-05,19,P3,0
sub-05,19,P4,0
sub-05,19,P5,0
sub-05,19,P6,0
sub-05,19,P7,0
sub-05,19,P8,0
sub-05,19,P9,0
sub-05,19,P10,0
sub-05,19,P11,0
sub-05,19,P12,0
sub-05,19,P13,0
sub-05,22,P1,0
sub-05,22,P2,0
sub-05,22,P3,0
sub-05,22,P4,0
sub-05,22,P5,0
sub-05,22,P6,0
sub-05,22,P7,0
sub-05,24,P1,0
sub-05,24,P2,0
sub-05,24,P3,0
sub-05,24,P4,0
sub-05,24,P5,0
sub-05,24,P6,0
sub-05,24,P7,0
sub-05,27,P1,0
sub-05,27,P2,0
sub-05,27,P3,0
sub-05,27,P4,0
sub-05,27,P5,0
sub-05,27,P6,0
sub-05,27,P7,0
sub-05,27,P8,2
sub-05,27,P9,0
sub-05,27,P10,0
sub-05,29,P1,0
sub-05,29,P2,0
sub-05,29,P3,0
